"3134HAFD0(Opens a new window)","08/15/2024","$5,000,000.00","5/.25","5","08/15/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADK6(Opens a new window)","08/15/2024","$5,000,000.00","5/1","4","08/15/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADK6(Opens a new window)","08/15/2024","$5,000,000.00","5/1","4","08/15/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADK6(Opens a new window)","08/15/2024","$5,000,000.00","5/1","4","08/15/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAFM0(Opens a new window)","08/16/2024","$12,700,000.00","5/.5","6","08/14/2029","MTN","Bermudan","USD","UBS SECURITIES LLC"
"3134HAFU2(Opens a new window)","08/16/2024","$300,000,000.00","3/.25","5.3","08/06/2027","GLOBAL MTN","Bermudan","USD","CITIGROUP GLOBAL MARKET INC."
"3134HAFV0(Opens a new window)","08/16/2024","$300,000,000.00","2/.5","5","08/13/2026","MTN","Bermudan","USD","SIEBERT WILLIAMS SHANK & CO, LLC"
"3134HAFX6(Opens a new window)","08/16/2024","$575,000,000.00","5/.75","5.03","08/16/2029","GLOBAL MTN","Bermudan","USD","CITIGROUP GLOBAL MARKET INC."
"3134HAFK4(Opens a new window)","08/19/2024","$20,000,000.00","3/1","4.45","08/19/2027","MTN","European","USD","MULTI-BANK SECURITIES"
"3134HAFR9(Opens a new window)","08/19/2024","$10,000,000.00","3/1","3.625","06/23/2027","MTN","Bermudan","USD","CASTLE OAK SECURITIES"
"3134HAFR9(Opens a new window)","08/19/2024","$10,000,000.00","3/1","3.625","06/23/2027","MTN","Bermudan","USD","CASTLE OAK SECURITIES"
"3134HAGB3(Opens a new window)","08/19/2024","$75,000,000.00","3/.75","4.25","08/19/2027","MTN","Bermudan","USD","RBC CAPITAL MARKETS, LLC"
"3134HAGF4(Opens a new window)","08/19/2024","$15,000,000.00","3/1","4.56","08/19/2027","MTN","Bermudan","USD","WELLS FARGO SECURITIES LLC"
"3134HAGN7(Opens a new window)","08/20/2024","$300,000,000.00","5/1","4.814","08/20/2029","GLOBAL MTN","Bermudan","USD","RAYMOND JAMES"
"3134HAGL1(Opens a new window)","08/20/2024","$15,000,000.00","5/.5","6.5","08/20/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAGK3(Opens a new window)","08/20/2024","$500,000,000.00","5/.75","5.01","08/20/2029","GLOBAL MTN","Bermudan","USD","JEFFRIES & CO"
"3134HAGE7(Opens a new window)","08/20/2024","$10,000,000.00","5/.5","6","08/20/2029","MTN","Bermudan","USD","UBS SECURITIES LLC"
"3134HAGA5(Opens a new window)","08/20/2024","$10,000,000.00","5/.5","4","08/20/2029","MTN","Bermudan","USD","PIPER SANDLER & CO. RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAGA5(Opens a new window)","08/20/2024","$15,000,000.00","5/.5","4","08/20/2029","MTN","Bermudan","USD","PIPER SANDLER & CO. RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAFY4(Opens a new window)","08/20/2024","$500,000,000.00","4.75/.75","5","05/16/2029","MTN","Bermudan","USD","FIRST HORIZON BANK"
"3134HAFW8(Opens a new window)","08/20/2024","$300,000,000.00","5/.25","5.5","08/20/2029","GLOBAL MTN","Bermudan","USD","TD SECURITIES (USA) LLC"
"3134HAFS7(Opens a new window)","08/20/2024","$15,000,000.00","3/.5","4","08/20/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAFP3(Opens a new window)","08/20/2024","$5,000,000.00","5/.5","4","08/20/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAFP3(Opens a new window)","08/20/2024","$7,500,000.00","5/.5","4","08/20/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADB6(Opens a new window)","08/20/2024","$15,000,000.00","5/1","4.125","08/20/2029","MTN","Bermudan","USD","SIEBERT WILLIAMS SHANK & CO, LLC"
"3134HADA8(Opens a new window)","08/20/2024","$10,000,000.00","5/1","4.375","08/20/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HACZ4(Opens a new window)","08/20/2024","$10,000,000.00","5/2","4.33","08/20/2029","MTN","Bermudan","USD","PIPER SANDLER & CO."
"3134HAFZ1(Opens a new window)","08/21/2024","$20,000,000.00","4/1","4.05","08/21/2028","MTN","Bermudan","USD","FIFTH THIRD SECURITIES, INC."
"3134HAGM9(Opens a new window)","08/21/2024","$10,000,000.00","5/1","4","08/21/2029","MTN","Bermudan","USD","FIFTH THIRD SECURITIES, INC."
"3134HAGP2(Opens a new window)","08/21/2024","$20,000,000.00","5/.25","7","08/21/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAGC1(Opens a new window)","08/22/2024","$10,000,000.00","5/1","4.15","08/22/2029","MTN","Bermudan","USD","D.A. DAVIDSON & CO. STIFEL, NICOLAUS, & CO. INC"
"3134HAGG2(Opens a new window)","08/22/2024","$10,000,000.00","5/.25","4.5","08/22/2029","MTN","Bermudan","USD","BREAN CAPITAL, LLC"
"3134HAGQ0(Opens a new window)","08/22/2024","$10,000,000.00","5/.25","7","08/22/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAGS6(Opens a new window)","08/22/2024","$10,000,000.00","3.25/.25","4","11/22/2027","MTN","Bermudan","USD","BOK FINANCIAL SECURITIES, INC. SOUTHSTATE|DUNCANWILLIAMS SECURITIE"
"3134HAHB2(Opens a new window)","08/22/2024","$525,000,000.00","5/.75","4.92","08/14/2029","GLOBAL MTN","Bermudan","USD","CITIGROUP GLOBAL MARKET INC."
"3134HAGD9(Opens a new window)","08/23/2024","$5,000,000.00","5/.5","4","08/20/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAGJ6(Opens a new window)","08/23/2024","$20,000,000.00","5/.5","4.125","08/21/2029","MTN","Bermudan","USD","UBS SECURITIES LLC"
"3134HAGU1(Opens a new window)","08/23/2024","$5,000,000.00","5/.5","4","08/21/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAHA4(Opens a new window)","08/23/2024","$500,000,000.00","5/.08","5.55","08/23/2029","GLOBAL MTN","Bermudan","USD","JEFFRIES & CO"
"3134HAHD8(Opens a new window)","08/23/2024","$500,000,000.00","5/.5","5.175","08/21/2029","MTN","Bermudan","USD",""
"3134HAHG1(Opens a new window)","08/23/2024","$20,000,000.00","5/.5","4","08/21/2029","MTN","Bermudan","USD","UBS SECURITIES LLC"
"3134HAHL0(Opens a new window)","08/26/2024","$25,000,000.00","2/.25","5.5","08/26/2026","MTN","Bermudan","USD","SIEBERT WILLIAMS SHANK & CO, LLC"
"3134HAHF3(Opens a new window)","08/26/2024","$25,000,000.00","2/.5","4","08/26/2026","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAHF3(Opens a new window)","08/26/2024","$25,000,000.00","2/.5","4","08/26/2026","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAGZ0(Opens a new window)","08/26/2024","$300,000,000.00","3/.08","5.5","08/26/2027","GLOBAL MTN","Bermudan","USD","RBC CAPITAL MARKETS, LLC"
"3134HAGV9(Opens a new window)","08/27/2024","$15,000,000.00","3/.5","4","08/27/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGV9(Opens a new window)","08/27/2024","$5,000,000.00","3/.5","4","08/27/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGV9(Opens a new window)","08/27/2024","$5,000,000.00","3/.5","4","08/27/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGV9(Opens a new window)","08/27/2024","$5,000,000.00","3/.5","4","08/27/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGX5(Opens a new window)","08/27/2024","$35,000,000.00","2/.5","3.625","08/27/2026","MTN","Bermudan","USD","HILLTOP SECURITIES, INC."
"3134HAGR8(Opens a new window)","08/28/2024","$5,000,000.00","4/.5","4","08/28/2028","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGR8(Opens a new window)","08/28/2024","$5,000,000.00","4/.5","4","08/28/2028","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGR8(Opens a new window)","08/28/2024","$5,000,000.00","4/.5","4","08/28/2028","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGT4(Opens a new window)","08/28/2024","$5,000,000.00","5/.5","4","08/28/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAGY3(Opens a new window)","08/28/2024","$5,000,000.00","2/.5","4.75","08/28/2026","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAHE6(Opens a new window)","08/28/2024","$25,000,000.00","4/1","4.5","08/28/2028","MTN","Bermudan","USD","WELLS FARGO SECURITIES LLC"
"3134HAHH9(Opens a new window)","08/28/2024","$10,000,000.00","5/.25","7","08/22/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAHJ5(Opens a new window)","08/28/2024","$25,000,000.00","3/.25","4","08/26/2027","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAHK2(Opens a new window)","08/28/2024","$25,000,000.00","3/.5","4","08/26/2027","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAHR7(Opens a new window)","08/28/2024","$5,000,000.00","5/.5","4.1","08/28/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAHP1(Opens a new window)","08/29/2024","$15,000,000.00","4.5/.5","4","02/28/2029","MTN","Bermudan","USD","PIPER SANDLER & CO. RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAHP1(Opens a new window)","08/29/2024","$15,000,000.00","4.5/.5","4","02/28/2029","MTN","Bermudan","USD","PIPER SANDLER & CO. RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAHQ9(Opens a new window)","08/29/2024","$15,000,000.00","3.5/.5","4","02/28/2028","MTN","Bermudan","USD","PIPER SANDLER & CO. RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAHS5(Opens a new window)","08/29/2024","$10,000,000.00","3/1","3.5","08/27/2027","MTN","Bermudan","USD","ROBERT W. BAIRD & CO. INCORPORATED"
"3134HAHV8(Opens a new window)","08/29/2024","$5,000,000.00","3.5/.25","4","02/25/2028","MTN","Bermudan","USD","GREAT PACIFIC SECURITIES"
"3134HAJD6(Opens a new window)","08/30/2024","$25,000,000.00","20/.25","6","08/19/2044","MTN","Bermudan","USD","INSPEREX MESIROW FINANCIAL"
"3134HAJA2(Opens a new window)","08/30/2024","$600,000,000.00","5/.5","5.15","08/27/2029","MTN","Bermudan","USD","RBC CAPITAL MARKETS, LLC"
"3134HAHZ9(Opens a new window)","08/30/2024","$10,000,000.00","2/.75","3.75","08/28/2026","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAHY2(Opens a new window)","08/30/2024","$10,000,000.00","4.5/.5","4.125","02/27/2029","MTN","Bermudan","USD","ROBERT W. BAIRD & CO. INCORPORATED BOK FINANCIAL SECURITIES, INC."
